TF	eRegulon_name	is_extended	TF2G_sign	R2G_sign	Gene	n_regions	max_importance_x_rho	best_triplet_rank
Atf2	Atf2_direct_+/+	False	+	+	Papola	1	0.3328715230018484	18
Atf2	Atf2_direct_+/+	False	+	+	Crem	1	0.0598569834364801	37
Atf2	Atf2_direct_+/+	False	+	+	Zfp407	1	0.0142007526173357	79
Atf2	Atf2_direct_+/+	False	+	+	Ppp3ca	2	0.1331621757441579	114
Atf2	Atf2_direct_+/+	False	+	+	Mfsd14b	1	0.0459429187491508	143
Atf2	Atf2_direct_+/+	False	+	+	5730480H06Rik	1	0.070528190946256	230
Atf2	Atf2_direct_+/+	False	+	+	Pou2f1	1	0.1236264106135949	379
Atf2	Atf2_direct_+/+	False	+	+	Eif4g3	3	0.0357520413662168	389
Atf2	Atf2_direct_+/+	False	+	+	Sptlc1	1	0.0574901682913504	494
Atf2	Atf2_direct_+/+	False	+	+	Efr3a	2	0.2692572465085237	503
Atf2	Atf2_direct_+/+	False	+	+	Rsf1	1	0.0295625025203125	507
Atf2	Atf2_direct_+/+	False	+	+	Dnajc6	1	0.0614924254223047	517
Atf2	Atf2_direct_+/+	False	+	+	Kat6b	1	0.0363467927311219	542
Atf2	Atf2_direct_+/+	False	+	+	Lonrf2	1	0.0347175575375298	593
Atf2	Atf2_direct_+/+	False	+	+	Zfp738	1	0.0190547707507675	599
Atf2	Atf2_direct_+/+	False	+	+	Blzf1	1	0.0331366424218569	618
Atf2	Atf2_direct_+/+	False	+	+	Adcy3	2	0.0457750208247037	638
Atf2	Atf2_direct_+/+	False	+	+	Ide	1	0.0232506550251106	646
Atf2	Atf2_direct_+/+	False	+	+	Akap6	1	0.0557908526909739	668
Atf2	Atf2_direct_+/+	False	+	+	Rbm26	1	0.1157127922509681	676
Atf2	Atf2_direct_+/+	False	+	+	Pptc7	1	0.031019279531925	683
Atf2	Atf2_direct_+/+	False	+	+	4932438A13Rik	1	0.2182137813396179	708
Atf2	Atf2_direct_+/+	False	+	+	Chfr	2	0.0035218647095166	769
Atf2	Atf2_direct_+/+	False	+	+	Rtl1	1	0.0439635551998326	790
Atf2	Atf2_direct_+/+	False	+	+	Nebl	1	0.16551879120478	795
Atf2	Atf2_direct_+/+	False	+	+	Mbd5	1	0.0636736651503008	811
Atf2	Atf2_direct_+/+	False	+	+	Prr14l	1	0.0331344804379401	812
Atf2	Atf2_direct_+/+	False	+	+	Arfgef2	1	0.0369445778026458	838
Atf2	Atf2_direct_+/+	False	+	+	Grm7	1	0.0951652645886574	848
Atf2	Atf2_direct_+/+	False	+	+	Slc9a8	1	0.0133542142098016	888
Atf2	Atf2_direct_+/+	False	+	+	Clvs1	1	0.0226900806829311	950
Atf2	Atf2_direct_+/+	False	+	+	Add3	1	0.0339552914701767	1035
Atf2	Atf2_direct_+/+	False	+	+	Cpeb3	1	0.0618038592932275	1049
Atf2	Atf2_direct_+/+	False	+	+	Tecpr2	1	0.0328920844511825	1348
Atf2	Atf2_direct_+/+	False	+	+	Zfp704	1	0.0081737572065237	1366
Atf2	Atf2_direct_+/+	False	+	+	Thoc7	1	0.0078696231925189	1382
Atf2	Atf2_direct_+/+	False	+	+	Lclat1	1	0.0742628571912953	1433
Atf2	Atf2_direct_+/+	False	+	+	Ptpn1	1	0.0057004791357591	1438
Atf2	Atf2_direct_+/+	False	+	+	Hivep3	2	0.045913112763288	1448
Atf2	Atf2_direct_+/+	False	+	+	Rcor1	1	0.0530517777806094	1471
Atf2	Atf2_direct_+/+	False	+	+	Vrk1	2	0.0075467563908173	1482
Atf2	Atf2_direct_+/+	False	+	+	Katnbl1	1	0.0334192946672227	1575
Atf2	Atf2_direct_+/+	False	+	+	Zfr	1	0.0265044675431922	1606
Atf2	Atf2_direct_+/+	False	+	+	Csnk1d	1	0.0154402751472229	1663
Atf2	Atf2_direct_+/+	False	+	+	Arhgap5	1	0.0224680989493737	1733
Atf2	Atf2_direct_+/+	False	+	+	Rb1	2	0.0195213146051367	1759
Atf2	Atf2_direct_+/+	False	+	+	Mapk1ip1l	2	0.0092867820408398	1778
Atf2	Atf2_direct_+/+	False	+	+	Bdp1	1	0.0334199426760477	1787
Atf2	Atf2_direct_+/+	False	+	+	Tmem248	1	0.0067595101380101	1881
Atf2	Atf2_direct_+/+	False	+	+	Ptdss1	1	0.0070236108272719	1885
Atf2	Atf2_direct_+/+	False	+	+	Reps1	1	0.0087656399107621	1903
Atf2	Atf2_direct_+/+	False	+	+	Ccdc149	1	0.0495745846354702	1923
Atf2	Atf2_direct_+/+	False	+	+	Srsf12	1	0.0102317549356163	1935
Atf2	Atf2_direct_+/+	False	+	+	Ncoa1	1	0.0266494339704996	1970
Atf2	Atf2_direct_+/+	False	+	+	Slc30a5	3	0.028679495052742	2046
Atf2	Atf2_direct_+/+	False	+	+	Zfp236	1	0.0163576536893099	2056
